time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 85, 11.447059, 2, 31, 10, 11, 12
1, 84, 11.333333, 3, 21, 10, 11, 12
2, 82, 11.585366, 9, 21, 10, 12, 12
3, 85, 11.258824, 4, 20, 10, 12, 12
4, 82, 11.621951, 9, 21, 10, 12, 12
5, 80, 12.000000, 2, 35, 11, 12, 13
6, 83, 11.506024, 8, 21, 11, 12, 12
7, 83, 11.578313, 2, 22, 10, 11, 12
8, 82, 11.731707, 6, 29, 10, 11, 12
9, 87, 11.000000, 4, 18, 10, 11, 12
10, 85, 11.258824, 7, 15, 10, 12, 12
11, 85, 11.258824, 3, 21, 10, 11, 12
12, 81, 11.691358, 7, 26, 11, 12, 12
13, 84, 11.416667, 5, 20, 10, 12, 12
14, 83, 11.469880, 1, 21, 10, 11, 12
15, 83, 11.614458, 2, 22, 10, 12, 12
16, 81, 11.691358, 8, 28, 10, 12, 12
17, 86, 11.127907, 3, 20, 10, 11, 12
18, 81, 11.765432, 2, 21, 10, 12, 12
19, 82, 11.609756, 4, 22, 11, 12, 12
20, 83, 11.530120, 3, 20, 10, 12, 12
21, 83, 11.638554, 3, 21, 10, 12, 12
22, 83, 11.481928, 3, 20, 10, 12, 12
23, 83, 11.469880, 4, 21, 10, 11, 12
24, 83, 11.409639, 2, 19, 11, 12, 12
25, 84, 11.428571, 4, 18, 11, 11, 12
26, 83, 11.542169, 3, 21, 10, 12, 12
27, 83, 11.433735, 2, 20, 10, 12, 12
28, 85, 11.282353, 4, 19, 10, 11, 12
29, 82, 11.682927, 2, 21, 11, 12, 12
30, 85, 11.176471, 2, 20, 10, 11, 12
31, 85, 11.211765, 8, 13, 10, 11, 12
32, 82, 11.597561, 8, 21, 11, 11, 12
33, 85, 11.294118, 4, 20, 10, 11, 12
34, 83, 11.433735, 8, 20, 10, 12, 12
35, 84, 11.380952, 3, 19, 10, 12, 12
36, 84, 11.333333, 2, 24, 10, 12, 12
37, 83, 11.445783, 9, 21, 10, 12, 12
38, 87, 11.114943, 3, 18, 10, 11, 12
39, 86, 11.093023, 7, 17, 10, 11, 12
40, 83, 11.433735, 9, 21, 11, 11, 12
41, 87, 11.057471, 7, 16, 10, 11, 12
42, 87, 11.022989, 4, 21, 10, 11, 12
43, 85, 11.200000, 8, 14, 10, 11, 12
44, 85, 11.305882, 8, 19, 10, 11, 12
45, 86, 11.162791, 8, 14, 10, 11, 12
46, 86, 11.081395, 1, 19, 10, 11, 12
47, 86, 11.011628, 8, 14, 10, 11, 12
48, 84, 11.380952, 8, 22, 10, 12, 12
49, 85, 11.282353, 9, 14, 10, 11, 12
50, 85, 11.200000, 9, 14, 10, 11, 12
51, 87, 10.977011, 9, 13, 10, 11, 12
52, 84, 11.297619, 1, 35, 10, 11, 12
53, 82, 11.756098, 9, 21, 10, 12, 12
54, 83, 11.421687, 2, 21, 10, 12, 12
55, 80, 11.925000, 8, 30, 11, 12, 12
56, 84, 11.380952, 2, 32, 10, 11, 12
57, 85, 11.258824, 4, 21, 10, 11, 12
58, 83, 11.445783, 3, 20, 10, 11, 12
59, 85, 11.258824, 9, 14, 10, 12, 12
60, 1, 13.000000, 13, 13, 13, 13, 13
