time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 81, 11.851852, 3, 47, 10, 11, 13
1, 85, 11.223529, 6, 18, 9, 11, 13
2, 83, 11.566265, 6, 16, 10, 12, 13
3, 84, 11.309524, 3, 17, 9, 11, 13
4, 83, 11.566265, 5, 40, 10, 11, 13
5, 86, 11.034884, 5, 16, 9, 11, 12
6, 83, 11.506024, 4, 16, 10, 12, 13
7, 85, 11.294118, 6, 18, 10, 11, 13
8, 81, 11.790123, 6, 49, 10, 12, 13
9, 84, 11.214286, 6, 17, 9, 11, 13
10, 84, 11.511905, 5, 17, 10, 11, 13
11, 82, 11.341463, 6, 17, 9, 11, 13
12, 82, 12.012195, 4, 51, 9, 11, 14
13, 84, 11.261905, 6, 17, 10, 11, 13
14, 86, 11.197674, 6, 16, 10, 11, 13
15, 83, 11.542169, 6, 34, 10, 11, 13
16, 84, 11.345238, 5, 19, 9, 11, 13
17, 84, 11.464286, 7, 16, 10, 11, 13
18, 84, 11.357143, 4, 17, 10, 12, 13
19, 82, 11.756098, 5, 43, 10, 11, 13
20, 85, 11.282353, 6, 18, 9, 11, 13
21, 80, 11.912500, 3, 43, 9, 11, 13
22, 83, 11.518072, 3, 35, 9, 11, 13
23, 82, 11.634146, 5, 50, 10, 11, 13
24, 83, 11.469880, 3, 19, 10, 12, 13
25, 85, 11.329412, 5, 17, 10, 11, 13
26, 80, 11.900000, 6, 54, 10, 11, 12
27, 83, 11.566265, 2, 23, 9, 12, 14
28, 84, 11.392857, 5, 21, 10, 12, 13
29, 85, 11.235294, 6, 16, 9, 11, 13
30, 83, 11.518072, 3, 43, 9, 11, 13
31, 85, 11.294118, 5, 17, 10, 12, 13
32, 85, 11.211765, 5, 17, 9, 11, 13
33, 85, 11.247059, 5, 16, 10, 12, 13
34, 82, 11.585366, 6, 51, 10, 11, 13
35, 86, 11.104651, 6, 16, 9, 11, 13
36, 85, 11.188235, 5, 16, 9, 11, 13
37, 84, 11.464286, 2, 28, 10, 11, 13
38, 84, 11.369048, 5, 48, 9, 11, 12
39, 84, 11.428571, 5, 34, 9, 11, 13
40, 81, 11.925926, 5, 25, 10, 12, 13
41, 83, 11.072289, 5, 16, 9, 11, 13
42, 87, 11.344828, 4, 39, 9, 11, 13
43, 86, 11.139535, 5, 16, 9, 11, 13
44, 85, 11.176471, 6, 16, 10, 11, 13
45, 84, 11.416667, 6, 34, 10, 11, 12
46, 86, 11.081395, 6, 16, 9, 11, 13
47, 85, 11.235294, 6, 16, 10, 11, 13
48, 85, 11.211765, 5, 17, 10, 11, 13
49, 81, 11.901235, 6, 48, 10, 12, 13
50, 84, 11.226190, 5, 16, 9, 11, 13
51, 85, 11.341176, 3, 21, 9, 11, 13
52, 84, 11.345238, 4, 17, 10, 12, 13
53, 79, 12.215190, 3, 55, 10, 11, 14
54, 83, 11.457831, 5, 21, 10, 12, 13
55, 84, 11.404762, 5, 31, 10, 11, 13
56, 84, 11.035714, 5, 17, 9, 11, 13
57, 82, 11.951220, 6, 61, 10, 11, 13
58, 85, 11.282353, 6, 16, 9, 11, 13
59, 83, 11.493976, 3, 20, 10, 12, 13
60, 1, 10.000000, 10, 10, 10, 10, 10
